address,cinema,clinic,dentist,ferry_terminal,fire_station,library,pharmacy,playground,police,school,stadium,station,forest,hospital,park,parking,residential
Ahmet Yesevi,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,8367.295568502246,0.0,55558.178554948594,2418.4875666834414,1827182.878721216
Bahçelievler,0.0,1.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1997.7335365320323,6571.636663496902,916700.735595244
Batı,2.0,2.0,2.0,1.0,0.0,3.0,16.0,2.0,0.0,2.0,0.0,1.0,0.0,3197.782197374385,328299.2973974392,72009.6876636726,668487.2200808501
Doğu,0.0,5.0,3.0,2.0,0.0,0.0,19.0,4.0,2.0,7.0,0.0,0.0,0.0,6670.922156585817,192215.61661956363,17451.42619940813,918243.6692080728
Dumlupınar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,157600.82519457396,0.0,305499.5798644518,0.0,17262.436215598602
Esenler,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,36291.39688872709,0.0,3482016.7715945262
Esenyalı,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,33223.26771758334,1251.3222825452683,2516505.064038784
Fatih,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8554.885680465843,0.0,2705760.3368914234
Fevzi Çakmak,0.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,0.0,8.0,0.0,1.0,0.0,85883.7625113237,472156.9769955096,33812.3245274761,2188616.0110311867
Güllü Bağlar,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,25311.73801019852,0.0,879976.0542774489
Güzelyalı,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,2.0,33595.5335761141,0.0,3940.360953465104,29845.75977915636,2465179.152065336
Harmandere,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,31505.734690736048,43755.33968866011,417856.6661713393
Kavakpınar,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,21650.712213706924,0.0,3181933.0172047047
Kaynarca,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,8.0,0.0,1.0,0.0,1603.611828044057,251811.2043252029,0.0,1778471.4701563383
Kurtköy,0.0,0.0,1.0,0.0,0.0,0.0,10.0,7.0,1.0,8.0,0.0,1.0,0.0,5381.3029768597335,18285.37546089047,43176.54727619304,454244.5222694911
Orhangazi,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5571.418685451383,0.0,2528900.987516444
Sapan Bağları,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,14110.698172084522,0.0,2816211.7156960987
Sülüntepe,0.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,7094.080029833014,0.0,121737.5554084722
Velibaba,0.0,2.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,6.0,0.0,0.0,340592.83742561564,0.0,23373.536808261702,572.0021129284287,723491.3784853942
Yayalar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3762.916764134541,6826.88030516915,608260.398793087
Yeni,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1236.225960771961,4480.326023830799,3264614.226543297
Yenişehir,1.0,4.0,2.0,0.0,1.0,1.0,9.0,11.0,1.0,23.0,1.0,0.0,0.0,19350.61397901812,528380.4530305511,158435.8465912725,2512224.363058316
Çamlık,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,12.0,1.0,0.0,18454772.53516602,28415.777505276023,13024.419983438573,14311.7848095328,1110826.82751927
Çamçeşme,0.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,751.9321648981422,4208.864817975089,2366772.5683024107
Çınardere,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,6681.800964463066,0.0,31448.28067079233
Şeyhli,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,2684.369798116386,6529.06414342986,367804.6980597358
