ILI,ILCESI,MAHALLESI,LATITUDE,LONGITUDE
İSTANBUL,PENDİK,KAVAKPINAR,40.8811385,29.2868227
İSTANBUL,PENDİK,KURTKÖY,40.9142051,29.3002734
İSTANBUL,PENDİK,VELIBABA,40.9044885,29.2543843
İSTANBUL,PENDİK,KAYNARCA,40.8752422,29.2552958
İSTANBUL,PENDİK,BAHÇELIEVLER,40.8839106,29.2353786
İSTANBUL,PENDİK,FEVZI ÇAKMAK,40.8780711,29.263908
İSTANBUL,PENDİK,GÜZELYALI,40.8605709,29.2821813
İSTANBUL,PENDİK,YENIŞEHIR,40.9312919,29.3043382
İSTANBUL,PENDİK,ÇINARDERE,40.894557,29.2395687
İSTANBUL,PENDİK,GÜLLÜ BAĞLAR,40.896909,29.2743647
İSTANBUL,PENDİK,YAYALAR,40.9027998,29.267275
İSTANBUL,PENDİK,DOĞU,40.8781658,29.2367481
İSTANBUL,PENDİK,ÇAMÇEŞME,40.872231,29.2705129
İSTANBUL,PENDİK,AHMET YESEVI,40.8683853,29.3087934
İSTANBUL,PENDİK,ÇAMLIK,40.928438,29.2834947
İSTANBUL,PENDİK,BATI,40.8771819,29.230314
İSTANBUL,PENDİK,HARMANDERE,40.9286057,29.3240794
İSTANBUL,PENDİK,SÜLÜNTEPE,40.9130716,29.2779541
İSTANBUL,PENDİK,ESENLER,40.8851987,29.2726983
İSTANBUL,PENDİK,ORHANGAZI,40.8660896,29.2894246
İSTANBUL,PENDİK,DUMLUPINAR,40.8920988,29.2483221
İSTANBUL,PENDİK,SAPAN BAĞLARI,40.8855757,29.2216182
İSTANBUL,PENDİK,DOLAYOBA,40.8885947,29.25874612493164
