ILI,ILCESI,MAHALLESI,DAIRE_YASAL_M2,KAT_NO,BINA_YASI,KAT_ADEDI,İNŞAAT_SEVİYESİ,ASANSÖR,DAIRE_SALON,DAIRE_MUTFAK,DAIRE_ODA,DAIRE_BANYO,ADRES,DOLAR,TÜFE_KONUT,TÜFE_KİRA,TÜFE_KONUTBAKIM,TÜFE_KONUTLAİLGİLİ,TÜFE,ÜFE,KONUT_FAİZ,CAM,KİL,ÇİMENTO,METAL,KFE,KFB
İSTANBUL,PENDİK,YENİALLE,79.0,0,5,10,100,1,1,1.0,2,1,İSTANBUL_PENDİK_YENİALLE,5.9726,495.65,535.78,465.16,375.11,448.02,464.64,11.425,379.46,504.23,398.69,662.86,109.8,5134.8
İSTANBUL,PENDİK,FATİH,83.0,2,16,5,100,0,1,1.0,2,1,İSTANBUL_PENDİK_FATİH,5.976,495.65,535.78,465.16,375.11,448.02,464.64,11.425,379.46,504.23,398.69,662.86,109.8,5134.8
İSTANBUL,PENDİK,ESENYALI,82.0,0,5,3,100,0,1,1.0,2,1,İSTANBUL_PENDİK_ESENYALI,5.9783,495.65,535.78,465.16,375.11,448.02,464.64,11.425,379.46,504.23,398.69,662.86,109.8,5134.8
İSTANBUL,PENDİK,ESENYALI,69.0,1,6,7,100,1,2,1.0,1,1,İSTANBUL_PENDİK_ESENYALI,6.0581,495.65,535.78,465.16,375.11,448.02,464.64,11.425,379.46,504.23,398.69,662.86,109.8,5134.8
İSTANBUL,PENDİK,YENİALLE,113.0,4,11,9,100,1,1,1.0,3,1,İSTANBUL_PENDİK_YENİALLE,6.2264,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,YENİALLE,91.0,2,5,7,100,1,1,1.0,3,1,İSTANBUL_PENDİK_YENİALLE,6.5154,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,ŞEYHLİ,42.0,1,5,9,81,1,1,1.0,1,1,İSTANBUL_PENDİK_ŞEYHLİ,6.5154,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,ŞEYHLİ,112.0,8,22,10,100,1,1,1.0,3,1,İSTANBUL_PENDİK_ŞEYHLİ,6.5864,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,FATİH,109.0,3,17,6,100,0,1,1.0,3,1,İSTANBUL_PENDİK_FATİH,6.5864,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,YENİALLE,92.0,1,18,5,100,0,1,1.0,2,1,İSTANBUL_PENDİK_YENİALLE,6.5864,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,ŞEYHLİ,72.0,3,6,10,100,1,1,1.0,2,1,İSTANBUL_PENDİK_ŞEYHLİ,6.9708,495.39,540.94,469.88,368.52,454.43,474.69,11.7225,392.1,501.08,394.39,703.76,113.1,5255.4
İSTANBUL,PENDİK,ŞEYHLİ,80.0,5,5,9,88,1,1,1.0,2,1,İSTANBUL_PENDİK_ŞEYHLİ,7.2209,497.06,543.35,471.91,366.55,460.62,482.02,11.234,396.6,508.0,392.97,707.6,117.6,5417.2
İSTANBUL,PENDİK,FATİH,99.0,2,18,7,100,0,1,1.0,3,1,İSTANBUL_PENDİK_FATİH,7.0121,497.06,543.35,471.91,366.55,460.62,482.02,11.234,396.6,508.0,392.97,707.6,117.6,5417.2
İSTANBUL,PENDİK,YENİALLE,102.0,7,33,10,100,1,1,1.0,3,1,İSTANBUL_PENDİK_YENİALLE,6.8138,497.06,543.35,471.91,366.55,460.62,482.02,11.234,396.6,508.0,392.97,707.6,117.6,5417.2
İSTANBUL,PENDİK,FATİH,80.0,4,9,11,100,1,1,1.0,2,1,İSTANBUL_PENDİK_FATİH,6.7573,500.54,546.49,476.69,372.95,465.84,485.37,9.3025,398.9,512.75,395.83,710.95,120.8,5529.5
İSTANBUL,PENDİK,YENİALLE,101.0,3,7,7,100,1,1,1.0,3,1,İSTANBUL_PENDİK_YENİALLE,6.7714,500.54,546.49,476.69,372.95,465.84,485.37,9.3025,398.9,512.75,395.83,710.95,120.8,5529.5
İSTANBUL,PENDİK,ŞEYHLİ,70.0,2,1,8,100,1,1,1.0,2,1,İSTANBUL_PENDİK_ŞEYHLİ,6.7714,500.54,546.49,476.69,372.95,465.84,485.37,9.3025,398.9,512.75,395.83,710.95,120.8,5529.5
İSTANBUL,PENDİK,ŞEYHLİ,135.0,0,17,8,100,1,1,1.0,3,2,İSTANBUL_PENDİK_ŞEYHLİ,6.7828,500.54,546.49,476.69,372.95,465.84,485.37,9.3025,398.9,512.75,395.83,710.95,120.8,5529.5
İSTANBUL,PENDİK,YENİALLE,73.0,8,6,10,100,1,1,1.0,2,1,İSTANBUL_PENDİK_YENİALLE,6.7777,500.54,546.49,476.69,372.95,465.84,485.37,9.3025,398.9,512.75,395.83,710.95,120.8,5529.5
İSTANBUL,PENDİK,ŞEYHLİ,70.0,0,26,10,100,1,1,1.0,2,1,İSTANBUL_PENDİK_ŞEYHLİ,6.7827,500.54,546.49,476.69,372.95,465.84,485.37,9.3025,398.9,512.75,395.83,710.95,120.8,5529.5
İSTANBUL,PENDİK,ESENYALI,67.0,1,4,7,100,1,1,1.0,1,1,İSTANBUL_PENDİK_ESENYALI,6.7827,500.54,546.49,476.69,372.95,465.84,485.37,9.3025,398.9,512.75,395.83,710.95,120.8,5529.5
İSTANBUL,PENDİK,ŞEYHLİ,108.0,7,16,9,100,1,1,1.0,3,1,İSTANBUL_PENDİK_ŞEYHLİ,6.7827,500.54,546.49,476.69,372.95,465.84,485.37,9.3025,398.9,512.75,395.83,710.95,120.8,5529.5
İSTANBUL,PENDİK,ŞEYHLİ,91.0,0,15,5,100,1,1,1.0,3,1,İSTANBUL_PENDİK_ŞEYHLİ,6.8142,500.54,546.49,476.69,372.95,465.84,485.37,9.3025,398.9,512.75,395.83,710.95,120.8,5529.5
İSTANBUL,PENDİK,ESENYALI,83.0,2,6,6,100,1,1,1.0,2,1,İSTANBUL_PENDİK_ESENYALI,6.8142,500.54,546.49,476.69,372.95,465.84,485.37,9.3025,398.9,512.75,395.83,710.95,120.8,5529.5
