ILI,ILCESI,MAHALLESI,DAIRE_YASAL_M2,KAT_NO,BINA_YASI,KAT_ADEDI,İNŞAAT_SEVİYESİ,ASANSÖR,DAIRE_SALON,DAIRE_MUTFAK,DAIRE_ODA,DAIRE_BANYO,NIHAI_DEGERI,ADRES,DOLAR,TÜFE_KONUT,TÜFE_KİRA,TÜFE_KONUTBAKIM,TÜFE_KONUTLAİLGİLİ,TÜFE,ÜFE,KONUT_FAİZ,CAM,KİL,ÇİMENTO,METAL,KFE,KFB
İSTANBUL,PENDİK,KAVAKPINAR,90.0,2,0,9,100,0,1,1.0,3,1,299970.0,İSTANBUL_PENDİK_KAVAKPINAR,5.94,493.27,531.47,464.17,371.08,446.45,462.42,11.882,374.11,500.86,402.53,653.09,107.4,5056.4
İSTANBUL,PENDİK,KURTKÖY,110.0,1,6,4,100,1,1,1.0,3,1,314600.0,İSTANBUL_PENDİK_KURTKÖY,5.94,493.27,531.47,464.17,371.08,446.45,462.42,11.882,374.11,500.86,402.53,653.09,107.4,5056.4
İSTANBUL,PENDİK,VELİBABA,106.0,7,3,10,100,1,1,1.0,2,2,449970.0,İSTANBUL_PENDİK_VELİBABA,5.8529,493.27,531.47,464.17,371.08,446.45,462.42,11.882,374.11,500.86,402.53,653.09,107.4,5056.4
İSTANBUL,PENDİK,KAYNARCA,98.0,15,6,22,100,1,1,1.0,3,2,4000000.0,İSTANBUL_PENDİK_KAYNARCA,5.9288,493.27,531.47,464.17,371.08,446.45,462.42,11.882,374.11,500.86,402.53,653.09,107.4,5056.4
İSTANBUL,PENDİK,BAHÇELİEVLER,98.0,3,32,9,100,1,1,1.0,3,1,3500000.0,İSTANBUL_PENDİK_BAHÇELİEVLER,5.9716,495.65,535.78,465.16,375.11,448.02,464.64,11.425,379.46,504.23,398.69,662.86,109.8,5134.8
İSTANBUL,PENDİK,FEVZİ ÇAKMAK,101.0,3,7,14,100,1,1,1.0,2,2,6000000.0,İSTANBUL_PENDİK_FEVZİ ÇAKMAK,5.9755,495.65,535.78,465.16,375.11,448.02,464.64,11.425,379.46,504.23,398.69,662.86,109.8,5134.8
İSTANBUL,PENDİK,KAYNARCA,114.0,2,12,5,100,1,1,1.0,3,2,3800000.0,İSTANBUL_PENDİK_KAYNARCA,5.9755,495.65,535.78,465.16,375.11,448.02,464.64,11.425,379.46,504.23,398.69,662.86,109.8,5134.8
İSTANBUL,PENDİK,KAYNARCA,82.0,7,7,23,76,1,1,1.0,2,2,4411480.0,İSTANBUL_PENDİK_KAYNARCA,5.976,495.65,535.78,465.16,375.11,448.02,464.64,11.425,379.46,504.23,398.69,662.86,109.8,5134.8
İSTANBUL,PENDİK,GÜZELYALI,80.0,3,6,6,100,1,1,1.0,2,1,3300000.0,İSTANBUL_PENDİK_GÜZELYALI,5.976,495.65,535.78,465.16,375.11,448.02,464.64,11.425,379.46,504.23,398.69,662.86,109.8,5134.8
İSTANBUL,PENDİK,YENİŞEHİR,55.0,2,9,13,100,1,1,1.0,1,1,3050000.0,İSTANBUL_PENDİK_YENİŞEHİR,5.9783,495.65,535.78,465.16,375.11,448.02,464.64,11.425,379.46,504.23,398.69,662.86,109.8,5134.8
